rawMax;rawMin;rawAve;rawDev;rawVar;fitMax;fitMin;fitAve
8156.41;5062.05;6757.44;707.13;500034.72;8108.93;5119.59;6757.44
7016.96;4451.84;5287.02;460.47;212029.85;6344.43;4776.53;5287.02
7047.60;4295.72;5232.62;552.39;305139.27;6279.15;4692.40;5232.62
6794.79;4143.29;4899.14;557.64;310959.62;5878.96;4508.45;4899.14
6653.77;3916.53;4815.74;526.06;276735.78;5778.88;4344.54;4815.74
6446.37;3903.22;4627.32;616.52;380093.29;5552.79;4258.93;4627.32
6457.46;3883.69;4551.73;617.46;381255.17;5462.07;4232.62;4551.73
7139.08;3883.69;4688.72;699.75;489654.90;5626.47;4380.64;4688.72
6560.03;3883.69;4531.27;648.99;421186.90;5437.52;4241.99;4531.27
6959.12;3842.76;4619.62;718.50;516239.00;5543.54;4312.82;4619.62
6278.19;3842.76;4724.80;690.99;477461.49;5669.76;4188.24;4724.80
7075.72;3842.76;4604.88;684.71;468833.48;5525.85;4320.81;4604.88
5746.42;3842.76;4509.42;563.19;317180.81;5411.30;4023.37;4509.42
5958.40;3842.76;4463.64;583.44;340396.62;5356.37;4092.83;4463.64
6673.43;3842.76;5167.48;655.01;429044.64;6200.98;4258.36;5167.48
7027.02;3842.76;4673.40;751.78;565169.23;5608.08;4343.53;4673.40
7719.29;3830.60;4962.73;800.94;641503.43;5955.28;4555.09;4962.73
7162.58;3830.60;5201.54;735.13;540413.10;6241.85;4474.27;5201.54
7287.12;3641.79;5070.68;777.87;605082.16;6084.82;4416.89;5070.68
7234.86;3641.79;4967.84;784.55;615515.73;5961.40;4386.67;4967.84
6350.46;3535.04;4668.20;713.46;509030.50;5601.84;4039.31;4668.20
6477.27;3535.04;4809.76;687.38;472492.70;5771.71;4074.40;4809.76
6684.60;3535.04;4473.31;767.05;588365.49;5367.98;4093.70;4473.31
6757.82;3535.04;4304.71;756.43;572192.63;5165.65;4034.59;4304.71
5653.49;3535.04;4220.21;638.77;408031.81;5064.26;3816.72;4220.21
6444.94;3535.04;4620.83;661.66;437798.34;5545.00;4070.73;4620.83
6572.89;3535.04;4463.57;694.78;482716.27;5356.28;4070.60;4463.57
7314.25;3535.04;4469.91;798.76;638025.22;5363.90;4176.08;4469.91
5582.81;3535.04;4194.29;590.59;348800.03;5033.15;3796.01;4194.29
6267.65;3535.04;4291.04;738.57;545486.79;5149.25;3962.80;4291.04
5831.77;3535.04;4324.62;662.34;438700.20;5189.54;3871.50;4324.62
6435.46;3535.04;4648.09;656.94;431566.64;5577.71;4069.19;4648.09
6593.07;3535.04;4440.49;792.04;627327.97;5328.59;4066.93;4440.49
7041.14;3535.04;4470.12;854.00;729314.79;5364.14;4144.96;4470.12
6035.40;3535.04;4265.11;670.39;449424.57;5118.13;3913.32;4265.11
6775.01;3535.04;4413.84;644.67;415599.83;5296.61;4085.29;4413.84
6883.86;3535.04;4532.18;830.96;690496.09;5438.62;4147.84;4532.18
6116.41;3535.04;4229.43;649.62;422007.35;5075.32;3918.15;4229.43
7122.23;3535.04;4471.80;765.54;586052.43;5366.16;4155.70;4471.80
6375.42;3535.04;4230.73;753.08;567125.98;5076.88;3956.26;4230.73
6526.81;3535.04;4337.09;728.32;530446.43;5204.51;4019.37;4337.09
6715.57;3533.35;4473.20;796.36;634193.93;5367.84;4098.23;4473.20
7023.03;3533.35;4189.24;592.23;350739.69;5027.09;3995.32;4189.24
5790.03;3533.35;4166.68;641.68;411750.14;5000.02;3841.57;4166.68
5777.71;3533.35;4126.68;590.11;348235.38;4952.02;3830.08;4126.68
5755.51;3533.35;4067.83;546.41;298568.40;4881.40;3810.18;4067.83
6502.51;3482.56;4124.29;697.05;485872.39;4949.15;3901.72;4124.29
6125.60;3482.56;4133.57;698.51;487916.55;4960.29;3863.40;4133.57
5774.16;3482.56;4087.33;642.99;413439.44;4904.80;3794.25;4087.33
6084.16;3482.56;4171.50;719.87;518213.95;5005.80;3870.99;4171.50
6201.56;3482.56;4237.79;714.58;510629.89;5085.34;3911.84;4237.79
6866.23;3482.56;4375.99;866.78;751301.42;5251.18;4061.99;4375.99
5927.44;3482.56;4095.94;642.61;412949.40;4915.13;3821.59;4095.94
5681.19;3482.56;4224.47;638.40;407548.21;5069.36;3794.17;4224.47
5754.31;3482.56;4155.73;649.93;422413.78;4986.87;3805.73;4155.73
6050.41;3482.56;4197.77;668.08;446333.26;5037.33;3873.66;4197.77
5855.92;3482.56;4168.33;759.27;576484.35;5002.00;3829.56;4168.33
5748.83;3482.56;4079.80;588.86;346756.74;4895.76;3787.82;4079.80
6473.16;3482.56;4160.66;657.44;432233.92;4992.79;3916.65;4160.66
6913.60;3482.56;4213.42;757.92;574447.09;5056.11;3985.33;4213.42
6077.08;3482.56;4248.02;766.73;587876.77;5097.62;3892.46;4248.02
6158.29;3482.56;4233.50;704.83;496780.23;5080.21;3903.17;4233.50
6192.31;3482.56;4254.68;699.61;489449.26;5105.62;3915.60;4254.68
6083.20;3482.56;4131.28;700.31;490430.24;4957.53;3856.67;4131.28
6333.61;3482.56;4353.50;775.43;601292.78;5224.20;3970.53;4353.50
6402.57;3482.56;4137.16;705.02;497048.38;4964.59;3898.07;4137.16
6686.20;3482.56;4136.52;703.39;494758.36;4963.82;3924.33;4136.52
5854.27;3482.56;4191.51;651.71;424732.34;5029.81;3834.09;4191.51
6337.63;3482.56;4236.94;752.19;565785.36;5084.33;3932.64;4236.94
5475.52;3482.56;4236.84;613.32;376161.83;5084.21;3720.85;4236.84
5872.26;3482.56;4074.81;611.72;374207.01;4889.78;3806.29;4074.81
6489.28;3482.56;4179.40;716.60;513508.40;5015.28;3927.24;4179.40
6794.76;3482.56;4129.23;710.96;505468.10;4955.07;3928.88;4129.23
6809.44;3482.56;4193.47;701.65;492315.02;5032.17;3965.55;4193.47
5985.71;3482.56;4109.13;672.44;452175.06;4930.95;3834.73;4109.13
5946.72;3482.56;4154.02;701.93;492698.71;4984.83;3842.84;4154.02
5945.28;3482.56;4126.49;642.41;412694.95;4951.79;3834.30;4126.49
6667.74;3482.56;4231.00;765.90;586595.57;5077.19;3971.09;4231.00
5981.64;3482.56;4164.41;697.26;486177.99;4997.30;3851.90;4164.41
6118.85;3482.56;4192.48;716.95;514018.70;5030.98;3883.47;4192.48
6402.60;3482.56;4102.66;687.67;472892.94;4923.19;3881.43;4102.66
6096.38;3482.56;4183.17;743.27;552451.82;5019.80;3876.80;4183.17
7025.56;3482.56;4378.04;633.20;400940.45;5253.65;4081.88;4378.04
7501.81;3482.56;4163.54;729.04;531492.06;4996.25;3993.68;4163.54
6697.34;3482.56;4224.89;765.14;585445.55;5069.87;3971.19;4224.89
5916.04;3482.56;4151.02;684.46;468492.31;4981.23;3836.60;4151.02
5897.85;3482.56;4158.76;643.92;414626.66;4990.52;3835.36;4158.76
